	sent_index	word_index	word	region	condition
0	0	0	The	det1pl	and_pl_pl-Vsg
1	0	1	moons	np1pl	and_pl_pl-Vsg
2	0	2	and	and	and_pl_pl-Vsg
3	0	3	the	det2pl	and_pl_pl-Vsg
4	0	4	stars	np2pl	and_pl_pl-Vsg
5	0	5	is	Vsg	and_pl_pl-Vsg
6	0	7	<eos>	End	and_pl_pl-Vsg
7	1	0	The	det1pl	and_pl_pl-Vsg
8	1	1	maids	np1pl	and_pl_pl-Vsg
9	1	2	and	and	and_pl_pl-Vsg
10	1	3	the	det2pl	and_pl_pl-Vsg
11	1	4	butlers	np2pl	and_pl_pl-Vsg
12	1	5	is	Vsg	and_pl_pl-Vsg
13	1	7	<eos>	End	and_pl_pl-Vsg
14	2	0	The	det1pl	and_pl_pl-Vsg
15	2	1	bulls	np1pl	and_pl_pl-Vsg
16	2	2	and	and	and_pl_pl-Vsg
17	2	3	the	det2pl	and_pl_pl-Vsg
18	2	4	pigs	np2pl	and_pl_pl-Vsg
19	2	5	is	Vsg	and_pl_pl-Vsg
20	2	7	<eos>	End	and_pl_pl-Vsg
21	3	0	The	det1pl	and_pl_pl-Vsg
22	3	1	doors	np1pl	and_pl_pl-Vsg
23	3	2	and	and	and_pl_pl-Vsg
24	3	3	the	det2pl	and_pl_pl-Vsg
25	3	4	windows	np2pl	and_pl_pl-Vsg
26	3	5	is	Vsg	and_pl_pl-Vsg
27	3	7	<eos>	End	and_pl_pl-Vsg
28	4	0	The	det1pl	and_pl_pl-Vsg
29	4	1	electricians	np1pl	and_pl_pl-Vsg
30	4	2	and	and	and_pl_pl-Vsg
31	4	3	the	det2pl	and_pl_pl-Vsg
32	4	4	plumbers	np2pl	and_pl_pl-Vsg
33	4	5	is	Vsg	and_pl_pl-Vsg
34	4	7	<eos>	End	and_pl_pl-Vsg
35	5	0	The	det1pl	and_pl_pl-Vsg
36	5	1	panthers	np1pl	and_pl_pl-Vsg
37	5	2	and	and	and_pl_pl-Vsg
38	5	3	the	det2pl	and_pl_pl-Vsg
39	5	4	cougars	np2pl	and_pl_pl-Vsg
40	5	5	is	Vsg	and_pl_pl-Vsg
41	5	7	<eos>	End	and_pl_pl-Vsg
42	6	0	The	det1pl	and_pl_pl-Vsg
43	6	1	toys	np1pl	and_pl_pl-Vsg
44	6	2	and	and	and_pl_pl-Vsg
45	6	3	the	det2pl	and_pl_pl-Vsg
46	6	4	bottles	np2pl	and_pl_pl-Vsg
47	6	5	is	Vsg	and_pl_pl-Vsg
48	6	7	<eos>	End	and_pl_pl-Vsg
49	7	0	The	det1pl	and_pl_pl-Vsg
50	7	1	burgers	np1pl	and_pl_pl-Vsg
51	7	2	and	and	and_pl_pl-Vsg
52	7	3	the	det2pl	and_pl_pl-Vsg
53	7	4	steaks	np2pl	and_pl_pl-Vsg
54	7	5	is	Vsg	and_pl_pl-Vsg
55	7	7	<eos>	End	and_pl_pl-Vsg
56	8	0	The	det1pl	and_pl_pl-Vsg
57	8	1	statues	np1pl	and_pl_pl-Vsg
58	8	2	and	and	and_pl_pl-Vsg
59	8	3	the	det2pl	and_pl_pl-Vsg
60	8	4	pedestals	np2pl	and_pl_pl-Vsg
61	8	5	is	Vsg	and_pl_pl-Vsg
62	8	7	<eos>	End	and_pl_pl-Vsg
63	9	0	The	det1pl	and_pl_pl-Vsg
64	9	1	flies	np1pl	and_pl_pl-Vsg
65	9	2	and	and	and_pl_pl-Vsg
66	9	3	the	det2pl	and_pl_pl-Vsg
67	9	4	mosquitoes	np2pl	and_pl_pl-Vsg
68	9	5	is	Vsg	and_pl_pl-Vsg
69	9	7	<eos>	End	and_pl_pl-Vsg
70	10	0	The	det1pl	and_pl_pl-Vsg
71	10	1	tutors	np1pl	and_pl_pl-Vsg
72	10	2	and	and	and_pl_pl-Vsg
73	10	3	the	det2pl	and_pl_pl-Vsg
74	10	4	pupils	np2pl	and_pl_pl-Vsg
75	10	5	is	Vsg	and_pl_pl-Vsg
76	10	7	<eos>	End	and_pl_pl-Vsg
77	11	0	The	det1pl	and_pl_pl-Vsg
78	11	1	bulldogs	np1pl	and_pl_pl-Vsg
79	11	2	and	and	and_pl_pl-Vsg
80	11	3	the	det2pl	and_pl_pl-Vsg
81	11	4	dalmatians	np2pl	and_pl_pl-Vsg
82	11	5	is	Vsg	and_pl_pl-Vsg
83	11	7	<eos>	End	and_pl_pl-Vsg
84	12	0	The	det1pl	and_pl_pl-Vsg
85	12	1	vines	np1pl	and_pl_pl-Vsg
86	12	2	and	and	and_pl_pl-Vsg
87	12	3	the	det2pl	and_pl_pl-Vsg
88	12	4	roots	np2pl	and_pl_pl-Vsg
89	12	5	is	Vsg	and_pl_pl-Vsg
90	12	7	<eos>	End	and_pl_pl-Vsg
91	13	0	The	det1pl	and_pl_pl-Vsg
92	13	1	swimmers	np1pl	and_pl_pl-Vsg
93	13	2	and	and	and_pl_pl-Vsg
94	13	3	the	det2pl	and_pl_pl-Vsg
95	13	4	divers	np2pl	and_pl_pl-Vsg
96	13	5	is	Vsg	and_pl_pl-Vsg
97	13	7	<eos>	End	and_pl_pl-Vsg
98	14	0	The	det1pl	and_pl_pl-Vsg
99	14	1	investigators	np1pl	and_pl_pl-Vsg
100	14	2	and	and	and_pl_pl-Vsg
101	14	3	the	det2pl	and_pl_pl-Vsg
102	14	4	technicians	np2pl	and_pl_pl-Vsg
103	14	5	is	Vsg	and_pl_pl-Vsg
104	14	7	<eos>	End	and_pl_pl-Vsg
105	15	0	The	det1pl	and_pl_pl-Vsg
106	15	1	architects	np1pl	and_pl_pl-Vsg
107	15	2	and	and	and_pl_pl-Vsg
108	15	3	the	det2pl	and_pl_pl-Vsg
109	15	4	carpenters	np2pl	and_pl_pl-Vsg
110	15	5	is	Vsg	and_pl_pl-Vsg
