	sent_index	word_index	word	region	condition
0	0	0	I	prefix_gram	that_pl_pl-Vsg
1	0	1	know	prefix_gram	that_pl_pl-Vsg
2	0	2	that	prefix_gram	that_pl_pl-Vsg
3	0	3	the	det1	that_pl_pl-Vsg
4	0	4	bulls	np1pl	that_pl_pl-Vsg
5	0	5	and	and	that_pl_pl-Vsg
6	0	6	the	det2	that_pl_pl-Vsg
7	0	7	pigs	np2pl	that_pl_pl-Vsg
8	0	8	is	is	that_pl_pl-Vsg
9	0	10	<eos>	End	that_pl_pl-Vsg
10	1	0	I	prefix_gram	that_pl_pl-Vsg
11	1	1	think	prefix_gram	that_pl_pl-Vsg
12	1	2	that	prefix_gram	that_pl_pl-Vsg
13	1	3	the	det1	that_pl_pl-Vsg
14	1	4	doors	np1pl	that_pl_pl-Vsg
15	1	5	and	and	that_pl_pl-Vsg
16	1	6	the	det2	that_pl_pl-Vsg
17	1	7	windows	np2pl	that_pl_pl-Vsg
18	1	8	is	is	that_pl_pl-Vsg
19	1	10	<eos>	End	that_pl_pl-Vsg
20	2	0	She	prefix_gram	that_pl_pl-Vsg
21	2	1	believes	prefix_gram	that_pl_pl-Vsg
22	2	2	that	prefix_gram	that_pl_pl-Vsg
23	2	3	the	det1	that_pl_pl-Vsg
24	2	4	toys	np1pl	that_pl_pl-Vsg
25	2	5	and	and	that_pl_pl-Vsg
26	2	6	the	det2	that_pl_pl-Vsg
27	2	7	bottles	np2pl	that_pl_pl-Vsg
28	2	8	is	is	that_pl_pl-Vsg
29	2	10	<eos>	End	that_pl_pl-Vsg
30	3	0	He	prefix_gram	that_pl_pl-Vsg
31	3	1	hopes	prefix_gram	that_pl_pl-Vsg
32	3	2	that	prefix_gram	that_pl_pl-Vsg
33	3	3	the	det1	that_pl_pl-Vsg
34	3	4	headlines	np1pl	that_pl_pl-Vsg
35	3	5	and	and	that_pl_pl-Vsg
36	3	6	the	det2	that_pl_pl-Vsg
37	3	7	stories	np2pl	that_pl_pl-Vsg
38	3	8	is	is	that_pl_pl-Vsg
39	3	10	<eos>	End	that_pl_pl-Vsg
40	4	0	We	prefix_gram	that_pl_pl-Vsg
41	4	1	know	prefix_gram	that_pl_pl-Vsg
42	4	2	that	prefix_gram	that_pl_pl-Vsg
43	4	3	the	det1	that_pl_pl-Vsg
44	4	4	leaders	np1pl	that_pl_pl-Vsg
45	4	5	and	and	that_pl_pl-Vsg
46	4	6	the	det2	that_pl_pl-Vsg
47	4	7	rivals	np2pl	that_pl_pl-Vsg
48	4	8	is	is	that_pl_pl-Vsg
49	4	10	<eos>	End	that_pl_pl-Vsg
50	5	0	You	prefix_gram	that_pl_pl-Vsg
51	5	1	suspect	prefix_gram	that_pl_pl-Vsg
52	5	2	that	prefix_gram	that_pl_pl-Vsg
53	5	3	the	det1	that_pl_pl-Vsg
54	5	4	physicians	np1pl	that_pl_pl-Vsg
55	5	5	and	and	that_pl_pl-Vsg
56	5	6	the	det2	that_pl_pl-Vsg
57	5	7	patients	np2pl	that_pl_pl-Vsg
58	5	8	is	is	that_pl_pl-Vsg
59	5	10	<eos>	End	that_pl_pl-Vsg
60	6	0	He	prefix_gram	that_pl_pl-Vsg
61	6	1	fears	prefix_gram	that_pl_pl-Vsg
62	6	2	that	prefix_gram	that_pl_pl-Vsg
63	6	3	the	det1	that_pl_pl-Vsg
64	6	4	experts	np1pl	that_pl_pl-Vsg
65	6	5	and	and	that_pl_pl-Vsg
66	6	6	the	det2	that_pl_pl-Vsg
67	6	7	specialists	np2pl	that_pl_pl-Vsg
68	6	8	is	is	that_pl_pl-Vsg
69	6	10	<eos>	End	that_pl_pl-Vsg
70	7	0	She	prefix_gram	that_pl_pl-Vsg
71	7	1	thinks	prefix_gram	that_pl_pl-Vsg
72	7	2	that	prefix_gram	that_pl_pl-Vsg
73	7	3	the	det1	that_pl_pl-Vsg
74	7	4	stockbrokers	np1pl	that_pl_pl-Vsg
75	7	5	and	and	that_pl_pl-Vsg
76	7	6	the	det2	that_pl_pl-Vsg
77	7	7	consultants	np2pl	that_pl_pl-Vsg
78	7	8	is	is	that_pl_pl-Vsg
79	7	10	<eos>	End	that_pl_pl-Vsg
80	8	0	He	prefix_gram	that_pl_pl-Vsg
81	8	1	knows	prefix_gram	that_pl_pl-Vsg
82	8	2	that	prefix_gram	that_pl_pl-Vsg
83	8	3	the	det1	that_pl_pl-Vsg
84	8	4	commanders	np1pl	that_pl_pl-Vsg
85	8	5	and	and	that_pl_pl-Vsg
86	8	6	the	det2	that_pl_pl-Vsg
87	8	7	deputies	np2pl	that_pl_pl-Vsg
