,Unnamed: 0,sent_index,word_index,word,region,condition,model_word,surprisal,model,unk,final
0,0,0,0,I,prefix_gram,gram_and_pl_pl_are,I,0.0,gulordava,False,False
1,1,0,1,know,prefix_gram,gram_and_pl_pl_are,know,6.27811336517334,gulordava,False,False
2,2,0,2,that,prefix_gram,gram_and_pl_pl_are,that,2.3520333766937256,gulordava,False,False
3,3,0,3,the,det1,gram_and_pl_pl_are,the,2.355128049850464,gulordava,False,False
4,4,0,4,bulls,np1pl,gram_and_pl_pl_are,bulls,17.3046875,gulordava,False,False
5,5,0,5,and,and,gram_and_pl_pl_are,and,5.953272342681885,gulordava,False,False
6,6,0,6,the,det2,gram_and_pl_pl_are,the,4.080531597137451,gulordava,False,False
7,7,0,7,pigs,np2pl,gram_and_pl_pl_are,pigs,6.740396022796631,gulordava,False,False
8,8,0,8,are,are,gram_and_pl_pl_are,are,1.741899847984314,gulordava,False,False
9,9,0,10,.,End,gram_and_pl_pl_are,.,8.973567008972168,gulordava,False,False
10,10,0,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
11,11,1,0,I,prefix_gram,gram_and_pl_pl_are,I,0.0,gulordava,False,False
12,12,1,1,think,prefix_gram,gram_and_pl_pl_are,think,4.781286239624023,gulordava,False,False
13,13,1,2,that,prefix_gram,gram_and_pl_pl_are,that,2.5387449264526367,gulordava,False,False
14,14,1,3,the,det1,gram_and_pl_pl_are,the,2.988407850265503,gulordava,False,False
15,15,1,4,doors,np1pl,gram_and_pl_pl_are,doors,13.150642395019533,gulordava,False,False
16,16,1,5,and,and,gram_and_pl_pl_are,and,3.727179527282715,gulordava,False,False
17,17,1,6,the,det2,gram_and_pl_pl_are,the,5.410925388336182,gulordava,False,False
18,18,1,7,windows,np2pl,gram_and_pl_pl_are,windows,3.557295799255371,gulordava,False,False
19,19,1,8,are,are,gram_and_pl_pl_are,are,1.8266077041625977,gulordava,False,False
20,20,1,10,.,End,gram_and_pl_pl_are,.,9.054178237915039,gulordava,False,False
21,21,1,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
22,22,2,0,She,prefix_gram,gram_and_pl_pl_are,She,0.0,gulordava,False,False
23,23,2,1,believes,prefix_gram,gram_and_pl_pl_are,believes,10.329933166503906,gulordava,False,False
24,24,2,2,that,prefix_gram,gram_and_pl_pl_are,that,1.3408524990081787,gulordava,False,False
25,25,2,3,the,det1,gram_and_pl_pl_are,the,2.060569524765014,gulordava,False,False
26,26,2,4,toys,np1pl,gram_and_pl_pl_are,toys,14.17656707763672,gulordava,False,False
27,27,2,5,and,and,gram_and_pl_pl_are,and,4.804750442504883,gulordava,False,False
28,28,2,6,the,det2,gram_and_pl_pl_are,the,3.834999084472656,gulordava,False,False
29,29,2,7,bottles,np2pl,gram_and_pl_pl_are,bottles,15.319782257080078,gulordava,False,False
30,30,2,8,are,are,gram_and_pl_pl_are,are,1.6479674577713013,gulordava,False,False
31,31,2,10,.,End,gram_and_pl_pl_are,.,12.599458694458008,gulordava,False,False
32,32,2,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
33,33,3,0,He,prefix_gram,gram_and_pl_pl_are,He,0.0,gulordava,False,False
34,34,3,1,hopes,prefix_gram,gram_and_pl_pl_are,hopes,14.9962158203125,gulordava,False,False
35,35,3,2,that,prefix_gram,gram_and_pl_pl_are,that,2.443997383117676,gulordava,False,False
36,36,3,3,the,det1,gram_and_pl_pl_are,the,1.9915997982025144,gulordava,False,False
37,37,3,4,headlines,np1pl,gram_and_pl_pl_are,headlines,18.742292404174805,gulordava,False,False
38,38,3,5,and,and,gram_and_pl_pl_are,and,5.434709072113037,gulordava,False,False
39,39,3,6,the,det2,gram_and_pl_pl_are,the,2.7893195152282715,gulordava,False,False
40,40,3,7,stories,np2pl,gram_and_pl_pl_are,stories,9.161168098449707,gulordava,False,False
41,41,3,8,are,are,gram_and_pl_pl_are,are,3.3790283203125,gulordava,False,False
42,42,3,10,.,End,gram_and_pl_pl_are,.,11.755671501159668,gulordava,False,False
43,43,3,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
44,44,4,0,We,prefix_gram,gram_and_pl_pl_are,We,0.0,gulordava,False,False
45,45,4,1,know,prefix_gram,gram_and_pl_pl_are,know,6.064652919769287,gulordava,False,False
46,46,4,2,that,prefix_gram,gram_and_pl_pl_are,that,2.3066439628601074,gulordava,False,False
47,47,4,3,the,det1,gram_and_pl_pl_are,the,1.9741146564483645,gulordava,False,False
48,48,4,4,leaders,np1pl,gram_and_pl_pl_are,leaders,12.753612518310547,gulordava,False,False
49,49,4,5,and,and,gram_and_pl_pl_are,and,5.4853034019470215,gulordava,False,False
50,50,4,6,the,det2,gram_and_pl_pl_are,the,2.7673540115356445,gulordava,False,False
51,51,4,7,rivals,np2pl,gram_and_pl_pl_are,rivals,16.055721282958984,gulordava,False,False
52,52,4,8,are,are,gram_and_pl_pl_are,are,2.2048656940460205,gulordava,False,False
53,53,4,10,.,End,gram_and_pl_pl_are,.,9.548924446105957,gulordava,False,False
54,54,4,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
55,55,5,0,You,prefix_gram,gram_and_pl_pl_are,You,0.0,gulordava,False,False
56,56,5,1,suspect,prefix_gram,gram_and_pl_pl_are,suspect,15.159241676330565,gulordava,False,False
57,57,5,2,that,prefix_gram,gram_and_pl_pl_are,that,1.3510589599609375,gulordava,False,False
58,58,5,3,the,det1,gram_and_pl_pl_are,the,1.7670035362243652,gulordava,False,False
59,59,5,4,physicians,np1pl,gram_and_pl_pl_are,physicians,16.693750381469727,gulordava,False,False
60,60,5,5,and,and,gram_and_pl_pl_are,and,4.052591800689696,gulordava,False,False
61,61,5,6,the,det2,gram_and_pl_pl_are,the,3.8899197578430176,gulordava,False,False
62,62,5,7,patients,np2pl,gram_and_pl_pl_are,patients,6.943310260772705,gulordava,False,False
63,63,5,8,are,are,gram_and_pl_pl_are,are,3.071444272994995,gulordava,False,False
64,64,5,10,.,End,gram_and_pl_pl_are,.,11.206671714782717,gulordava,False,False
65,65,5,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
66,66,6,0,He,prefix_gram,gram_and_pl_pl_are,He,0.0,gulordava,False,False
67,67,6,1,fears,prefix_gram,gram_and_pl_pl_are,fears,16.634893417358402,gulordava,False,False
68,68,6,2,that,prefix_gram,gram_and_pl_pl_are,that,1.032111883163452,gulordava,False,False
69,69,6,3,the,det1,gram_and_pl_pl_are,the,2.0375752449035645,gulordava,False,False
70,70,6,4,experts,np1pl,gram_and_pl_pl_are,experts,15.279204368591307,gulordava,False,False
71,71,6,5,and,and,gram_and_pl_pl_are,and,5.847277641296388,gulordava,False,False
72,72,6,6,the,det2,gram_and_pl_pl_are,the,2.691615104675293,gulordava,False,False
73,73,6,7,specialists,np2pl,gram_and_pl_pl_are,specialists,10.084395408630373,gulordava,False,False
74,74,6,8,are,are,gram_and_pl_pl_are,are,3.126672506332397,gulordava,False,False
75,75,6,10,.,End,gram_and_pl_pl_are,.,11.307784080505373,gulordava,False,False
76,76,6,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
77,77,7,0,She,prefix_gram,gram_and_pl_pl_are,She,0.0,gulordava,False,False
78,78,7,1,thinks,prefix_gram,gram_and_pl_pl_are,thinks,11.647716522216795,gulordava,False,False
79,79,7,2,that,prefix_gram,gram_and_pl_pl_are,that,2.252629041671753,gulordava,False,False
80,80,7,3,the,det1,gram_and_pl_pl_are,the,2.304706573486328,gulordava,False,False
81,81,7,4,stockbrokers,np1pl,gram_and_pl_pl_are,<unk>,3.5943922996521,gulordava,True,False
82,82,7,5,and,and,gram_and_pl_pl_are,and,5.539842128753662,gulordava,False,False
83,83,7,6,the,det2,gram_and_pl_pl_are,the,2.8921537399291988,gulordava,False,False
84,84,7,7,consultants,np2pl,gram_and_pl_pl_are,consultants,18.93230628967285,gulordava,False,False
85,85,7,8,are,are,gram_and_pl_pl_are,are,2.246715784072876,gulordava,False,False
86,86,7,10,.,End,gram_and_pl_pl_are,.,11.525068283081055,gulordava,False,False
87,87,7,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
88,88,8,0,He,prefix_gram,gram_and_pl_pl_are,He,0.0,gulordava,False,False
89,89,8,1,knows,prefix_gram,gram_and_pl_pl_are,knows,11.522665023803713,gulordava,False,False
90,90,8,2,that,prefix_gram,gram_and_pl_pl_are,that,2.29728627204895,gulordava,False,False
91,91,8,3,the,det1,gram_and_pl_pl_are,the,2.2672038078308105,gulordava,False,False
92,92,8,4,commanders,np1pl,gram_and_pl_pl_are,commanders,16.040212631225586,gulordava,False,False
93,93,8,5,and,and,gram_and_pl_pl_are,and,5.096190452575684,gulordava,False,False
94,94,8,6,the,det2,gram_and_pl_pl_are,the,2.6408722400665283,gulordava,False,False
95,95,8,7,deputies,np2pl,gram_and_pl_pl_are,deputies,10.18204116821289,gulordava,False,False
96,96,8,8,are,are,gram_and_pl_pl_are,are,2.1143510341644287,gulordava,False,False
97,97,8,10,.,End,gram_and_pl_pl_are,.,9.756742477416992,gulordava,False,False
98,98,8,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
99,99,9,0,He,prefix_gram,gram_and_pl_pl_are,He,0.0,gulordava,False,False
100,100,9,1,believes,prefix_gram,gram_and_pl_pl_are,believes,10.138664245605467,gulordava,False,False
101,101,9,2,that,prefix_gram,gram_and_pl_pl_are,that,1.1807271242141724,gulordava,False,False
102,102,9,3,the,det1,gram_and_pl_pl_are,the,1.8826404809951784,gulordava,False,False
103,103,9,4,pilots,np1pl,gram_and_pl_pl_are,pilots,14.50842571258545,gulordava,False,False
104,104,9,5,and,and,gram_and_pl_pl_are,and,4.818928718566895,gulordava,False,False
105,105,9,6,the,det2,gram_and_pl_pl_are,the,3.2086470127105717,gulordava,False,False
106,106,9,7,planes,np2pl,gram_and_pl_pl_are,planes,11.353025436401367,gulordava,False,False
107,107,9,8,are,are,gram_and_pl_pl_are,are,2.815062999725342,gulordava,False,False
108,108,9,10,.,End,gram_and_pl_pl_are,.,12.249383926391602,gulordava,False,False
109,109,9,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
110,110,10,0,You,prefix_gram,gram_and_pl_pl_are,You,0.0,gulordava,False,False
111,111,10,1,believe,prefix_gram,gram_and_pl_pl_are,believe,9.250808715820312,gulordava,False,False
112,112,10,2,that,prefix_gram,gram_and_pl_pl_are,that,1.5688017606735232,gulordava,False,False
113,113,10,3,the,det1,gram_and_pl_pl_are,the,2.0223193168640137,gulordava,False,False
114,114,10,4,knights,np1pl,gram_and_pl_pl_are,knights,15.490117073059082,gulordava,False,False
115,115,10,5,and,and,gram_and_pl_pl_are,and,4.183526039123535,gulordava,False,False
116,116,10,6,the,det2,gram_and_pl_pl_are,the,3.346695899963379,gulordava,False,False
117,117,10,7,horses,np2pl,gram_and_pl_pl_are,horses,9.30018711090088,gulordava,False,False
118,118,10,8,are,are,gram_and_pl_pl_are,are,2.349364280700684,gulordava,False,False
119,119,10,10,.,End,gram_and_pl_pl_are,.,10.84563446044922,gulordava,False,False
120,120,10,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
121,121,11,0,We,prefix_gram,gram_and_pl_pl_are,We,0.0,gulordava,False,False
122,122,11,1,believe,prefix_gram,gram_and_pl_pl_are,believe,7.021371364593506,gulordava,False,False
123,123,11,2,that,prefix_gram,gram_and_pl_pl_are,that,1.1893354654312134,gulordava,False,False
124,124,11,3,the,det1,gram_and_pl_pl_are,the,1.867971658706665,gulordava,False,False
125,125,11,4,keys,np1pl,gram_and_pl_pl_are,keys,13.607401847839355,gulordava,False,False
126,126,11,5,and,and,gram_and_pl_pl_are,and,5.3426475524902335,gulordava,False,False
127,127,11,6,the,det2,gram_and_pl_pl_are,the,2.4227769374847408,gulordava,False,False
128,128,11,7,locks,np2pl,gram_and_pl_pl_are,locks,11.814691543579102,gulordava,False,False
129,129,11,8,are,are,gram_and_pl_pl_are,are,1.3626468181610107,gulordava,False,False
130,130,11,10,.,End,gram_and_pl_pl_are,.,10.196279525756836,gulordava,False,False
131,131,11,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
132,132,12,0,They,prefix_gram,gram_and_pl_pl_are,They,0.0,gulordava,False,False
133,133,12,1,believe,prefix_gram,gram_and_pl_pl_are,believe,8.013432502746582,gulordava,False,False
134,134,12,2,that,prefix_gram,gram_and_pl_pl_are,that,1.1416617631912231,gulordava,False,False
135,135,12,3,the,det1,gram_and_pl_pl_are,the,1.7629101276397705,gulordava,False,False
136,136,12,4,memos,np1pl,gram_and_pl_pl_are,memos,19.641685485839844,gulordava,False,False
137,137,12,5,and,and,gram_and_pl_pl_are,and,4.376763820648193,gulordava,False,False
138,138,12,6,the,det2,gram_and_pl_pl_are,the,5.607661247253418,gulordava,False,False
139,139,12,7,messages,np2pl,gram_and_pl_pl_are,messages,7.896193504333496,gulordava,False,False
140,140,12,8,are,are,gram_and_pl_pl_are,are,2.6117873191833496,gulordava,False,False
141,141,12,10,.,End,gram_and_pl_pl_are,.,12.58434772491455,gulordava,False,False
142,142,12,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
143,143,13,0,You,prefix_gram,gram_and_pl_pl_are,You,0.0,gulordava,False,False
144,144,13,1,know,prefix_gram,gram_and_pl_pl_are,know,6.225463390350343,gulordava,False,False
145,145,13,2,that,prefix_gram,gram_and_pl_pl_are,that,3.9705073833465576,gulordava,False,False
146,146,13,3,the,det1,gram_and_pl_pl_are,the,2.0637996196746826,gulordava,False,False
147,147,13,4,warnings,np1pl,gram_and_pl_pl_are,warnings,15.141824722290039,gulordava,False,False
148,148,13,5,and,and,gram_and_pl_pl_are,and,5.236713409423828,gulordava,False,False
149,149,13,6,the,det2,gram_and_pl_pl_are,the,3.56493616104126,gulordava,False,False
150,150,13,7,decisions,np2pl,gram_and_pl_pl_are,decisions,12.073515892028807,gulordava,False,False
151,151,13,8,are,are,gram_and_pl_pl_are,are,3.249603271484375,gulordava,False,False
152,152,13,10,.,End,gram_and_pl_pl_are,.,8.628841400146483,gulordava,False,False
153,153,13,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
154,154,14,0,She,prefix_gram,gram_and_pl_pl_are,She,0.0,gulordava,False,False
155,155,14,1,knows,prefix_gram,gram_and_pl_pl_are,knows,11.60819149017334,gulordava,False,False
156,156,14,2,that,prefix_gram,gram_and_pl_pl_are,that,2.2789020538330083,gulordava,False,False
157,157,14,3,the,det1,gram_and_pl_pl_are,the,2.5218210220336914,gulordava,False,False
158,158,14,4,protests,np1pl,gram_and_pl_pl_are,protests,14.753069877624512,gulordava,False,False
159,159,14,5,and,and,gram_and_pl_pl_are,and,4.5638861656188965,gulordava,False,False
160,160,14,6,the,det2,gram_and_pl_pl_are,the,3.127030372619629,gulordava,False,False
161,161,14,7,petitions,np2pl,gram_and_pl_pl_are,petitions,12.770670890808105,gulordava,False,False
162,162,14,8,are,are,gram_and_pl_pl_are,are,2.151388168334961,gulordava,False,False
163,163,14,10,.,End,gram_and_pl_pl_are,.,10.641886711120604,gulordava,False,False
164,164,14,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
165,165,15,0,They,prefix_gram,gram_and_pl_pl_are,They,0.0,gulordava,False,False
166,166,15,1,know,prefix_gram,gram_and_pl_pl_are,know,9.485983848571776,gulordava,False,False
167,167,15,2,that,prefix_gram,gram_and_pl_pl_are,that,2.1694839000701904,gulordava,False,False
168,168,15,3,the,det1,gram_and_pl_pl_are,the,1.8723177909851076,gulordava,False,False
169,169,15,4,investigations,np1pl,gram_and_pl_pl_are,investigations,16.11646842956543,gulordava,False,False
170,170,15,5,and,and,gram_and_pl_pl_are,and,4.891708850860597,gulordava,False,False
171,171,15,6,the,det2,gram_and_pl_pl_are,the,3.666562557220459,gulordava,False,False
172,172,15,7,studies,np2pl,gram_and_pl_pl_are,studies,10.95667552947998,gulordava,False,False
173,173,15,8,are,are,gram_and_pl_pl_are,are,2.9080109596252437,gulordava,False,False
174,174,15,10,.,End,gram_and_pl_pl_are,.,11.791497230529785,gulordava,False,False
175,175,15,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
176,176,16,0,She,prefix_gram,gram_and_pl_pl_are,She,0.0,gulordava,False,False
177,177,16,1,fears,prefix_gram,gram_and_pl_pl_are,fears,15.903525352478027,gulordava,False,False
178,178,16,2,that,prefix_gram,gram_and_pl_pl_are,that,1.0866866111755369,gulordava,False,False
179,179,16,3,the,det1,gram_and_pl_pl_are,the,2.1781163215637207,gulordava,False,False
180,180,16,4,drivers,np1pl,gram_and_pl_pl_are,drivers,15.417377471923828,gulordava,False,False
181,181,16,5,and,and,gram_and_pl_pl_are,and,6.73639726638794,gulordava,False,False
182,182,16,6,the,det2,gram_and_pl_pl_are,the,3.5818915367126465,gulordava,False,False
183,183,16,7,passengers,np2pl,gram_and_pl_pl_are,passengers,6.260712623596191,gulordava,False,False
184,184,16,8,are,are,gram_and_pl_pl_are,are,2.8997402191162114,gulordava,False,False
185,185,16,10,.,End,gram_and_pl_pl_are,.,11.530683517456055,gulordava,False,False
186,186,16,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
187,187,17,0,They,prefix_gram,gram_and_pl_pl_are,They,0.0,gulordava,False,False
188,188,17,1,fear,prefix_gram,gram_and_pl_pl_are,fear,14.846694946289062,gulordava,False,False
189,189,17,2,that,prefix_gram,gram_and_pl_pl_are,that,0.9374327063560486,gulordava,False,False
190,190,17,3,the,det1,gram_and_pl_pl_are,the,1.9751636981964111,gulordava,False,False
191,191,17,4,walls,np1pl,gram_and_pl_pl_are,walls,12.854576110839846,gulordava,False,False
192,192,17,5,and,and,gram_and_pl_pl_are,and,4.5279197692871085,gulordava,False,False
193,193,17,6,the,det2,gram_and_pl_pl_are,the,3.558302402496338,gulordava,False,False
194,194,17,7,screens,np2pl,gram_and_pl_pl_are,screens,13.854962348937988,gulordava,False,False
195,195,17,8,are,are,gram_and_pl_pl_are,are,2.4111957550048833,gulordava,False,False
196,196,17,10,.,End,gram_and_pl_pl_are,.,10.86941909790039,gulordava,False,False
197,197,17,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
198,198,18,0,I,prefix_gram,gram_and_pl_pl_are,I,0.0,gulordava,False,False
199,199,18,1,fear,prefix_gram,gram_and_pl_pl_are,fear,11.24657154083252,gulordava,False,False
200,200,18,2,that,prefix_gram,gram_and_pl_pl_are,that,1.7934163808822632,gulordava,False,False
201,201,18,3,the,det1,gram_and_pl_pl_are,the,2.291545152664185,gulordava,False,False
202,202,18,4,apartments,np1pl,gram_and_pl_pl_are,apartments,17.13917350769043,gulordava,False,False
203,203,18,5,and,and,gram_and_pl_pl_are,and,5.257370471954347,gulordava,False,False
204,204,18,6,the,det2,gram_and_pl_pl_are,the,3.080711841583252,gulordava,False,False
205,205,18,7,studios,np2pl,gram_and_pl_pl_are,studios,12.489883422851562,gulordava,False,False
206,206,18,8,are,are,gram_and_pl_pl_are,are,2.583880424499512,gulordava,False,False
207,207,18,10,.,End,gram_and_pl_pl_are,.,9.921660423278807,gulordava,False,False
208,208,18,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
209,209,19,0,I,prefix_gram,gram_and_pl_pl_are,I,0.0,gulordava,False,False
210,210,19,1,suspect,prefix_gram,gram_and_pl_pl_are,suspect,9.766764640808104,gulordava,False,False
211,211,19,2,that,prefix_gram,gram_and_pl_pl_are,that,1.874962568283081,gulordava,False,False
212,212,19,3,the,det1,gram_and_pl_pl_are,the,2.0438501834869385,gulordava,False,False
213,213,19,4,pedestrians,np1pl,gram_and_pl_pl_are,pedestrians,18.312374114990234,gulordava,False,False
214,214,19,5,and,and,gram_and_pl_pl_are,and,4.30627965927124,gulordava,False,False
215,215,19,6,the,det2,gram_and_pl_pl_are,the,3.70083999633789,gulordava,False,False
216,216,19,7,vehicles,np2pl,gram_and_pl_pl_are,vehicles,8.708386421203612,gulordava,False,False
217,217,19,8,are,are,gram_and_pl_pl_are,are,2.0557897090911865,gulordava,False,False
218,218,19,10,.,End,gram_and_pl_pl_are,.,10.011651039123537,gulordava,False,False
219,219,19,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
220,220,20,0,We,prefix_gram,gram_and_pl_pl_are,We,0.0,gulordava,False,False
221,221,20,1,suspect,prefix_gram,gram_and_pl_pl_are,suspect,13.738614082336426,gulordava,False,False
222,222,20,2,that,prefix_gram,gram_and_pl_pl_are,that,0.9207468628883362,gulordava,False,False
223,223,20,3,the,det1,gram_and_pl_pl_are,the,1.853921175003052,gulordava,False,False
224,224,20,4,coaches,np1pl,gram_and_pl_pl_are,coaches,16.025293350219727,gulordava,False,False
225,225,20,5,and,and,gram_and_pl_pl_are,and,4.832686424255371,gulordava,False,False
226,226,20,6,the,det2,gram_and_pl_pl_are,the,2.4201526641845703,gulordava,False,False
227,227,20,7,athletes,np2pl,gram_and_pl_pl_are,athletes,10.396259307861328,gulordava,False,False
228,228,20,8,are,are,gram_and_pl_pl_are,are,2.5250132083892822,gulordava,False,False
229,229,20,10,.,End,gram_and_pl_pl_are,.,10.975062370300293,gulordava,False,False
230,230,20,11,<eos>,End,gram_and_pl_pl_are,<eos>,-0.0,gulordava,False,True
231,231,21,0,He,prefix_gram,gram_and_pl_pl_are,He,0.0,gulordava,False,False
232,232,21,1,suspects,prefix_gram,gram_and_pl_pl_are,suspects,15.475257873535154,gulordava,False,False
233,233,21,2,that,prefix_gram,gram_and_pl_pl_are,that,1.3193609714508057,gulordava,False,False
234,234,21,3,the,det1,gram_and_pl_pl_are,the,1.9528822898864744,gulordava,False,False
235,235,21,4,episodes,np1pl,gram_and_pl_pl_are,episodes,15.329084396362305,gulordava,False,False
236,236,21,5,and,and,gram_and_pl_pl_are,and,6.317401885986327,gulordava,False,False
237,237,21,6,the,det2,gram_and_pl_pl_are,the,2.671637535095215,gulordava,False,False
238,238,21,7,chapters,np2pl,gram_and_pl_pl_are,chapters,11.839569091796875,gulordava,False,False
239,239,21,8,are,are,gram_and_pl_pl_are,are,1.8959708213806152,gulordava,False,False
240,240,21,10,.,End,gram_and_pl_pl_are,.,12.43997859954834,gulordava,False,False
