	sent_index	word_index	word	region	condition
0	0	0	Les	Det	Nm_and_Nf_Vm
1	0	1	prix	N1m	Nm_and_Nf_Vm
2	0	2	et	et	Nm_and_Nf_Vm
3	0	3	les	Det	Nm_and_Nf_Vm
4	0	4	dépenses	N2f	Nm_and_Nf_Vm
5	0	5	étaient	sont	Nm_and_Nf_Vm
6	0	6	importants	Masc	Nm_and_Nf_Vm
7	0	8	<eos>	End	Nm_and_Nf_Vm
8	1	0	Les	Det	Nm_and_Nf_Vm
9	1	1	obstacles	N1m	Nm_and_Nf_Vm
10	1	2	et	et	Nm_and_Nf_Vm
11	1	3	les	Det	Nm_and_Nf_Vm
12	1	4	difficultés	N2f	Nm_and_Nf_Vm
13	1	5	étaient	sont	Nm_and_Nf_Vm
14	1	6	nombreux	Masc	Nm_and_Nf_Vm
15	1	8	<eos>	End	Nm_and_Nf_Vm
16	2	0	Les	Det	Nm_and_Nf_Vm
17	2	1	talents	N1m	Nm_and_Nf_Vm
18	2	2	et	et	Nm_and_Nf_Vm
19	2	3	les	Det	Nm_and_Nf_Vm
20	2	4	qualités	N2f	Nm_and_Nf_Vm
21	2	5	étaient	sont	Nm_and_Nf_Vm
22	2	6	divers	Masc	Nm_and_Nf_Vm
23	2	8	<eos>	End	Nm_and_Nf_Vm
24	3	0	Les	Det	Nm_and_Nf_Vm
25	3	1	procédures	N1m	Nm_and_Nf_Vm
26	3	2	et	et	Nm_and_Nf_Vm
27	3	3	les	Det	Nm_and_Nf_Vm
28	3	4	règles	N2f	Nm_and_Nf_Vm
29	3	5	étaient	sont	Nm_and_Nf_Vm
30	3	6	publiés	Masc	Nm_and_Nf_Vm
31	3	8	<eos>	End	Nm_and_Nf_Vm
32	4	0	Les	Det	Nm_and_Nf_Vm
33	4	1	traitements	N1m	Nm_and_Nf_Vm
34	4	2	et	et	Nm_and_Nf_Vm
35	4	3	les	Det	Nm_and_Nf_Vm
36	4	4	opérations	N2f	Nm_and_Nf_Vm
37	4	5	étaient	sont	Nm_and_Nf_Vm
38	4	6	chers	Masc	Nm_and_Nf_Vm
39	4	8	<eos>	End	Nm_and_Nf_Vm
40	5	0	Les	Det	Nm_and_Nf_Vm
41	5	1	ordinateurs	N1m	Nm_and_Nf_Vm
42	5	2	et	et	Nm_and_Nf_Vm
43	5	3	les	Det	Nm_and_Nf_Vm
44	5	4	machines	N2f	Nm_and_Nf_Vm
45	5	5	étaient	sont	Nm_and_Nf_Vm
46	5	6	assurés	Masc	Nm_and_Nf_Vm
47	5	8	<eos>	End	Nm_and_Nf_Vm
48	6	0	Les	Det	Nm_and_Nf_Vm
49	6	1	départements	N1m	Nm_and_Nf_Vm
50	6	2	et	et	Nm_and_Nf_Vm
51	6	3	les	Det	Nm_and_Nf_Vm
52	6	4	régions	N2f	Nm_and_Nf_Vm
53	6	5	étaient	sont	Nm_and_Nf_Vm
54	6	6	rejetés	Masc	Nm_and_Nf_Vm
55	6	8	<eos>	End	Nm_and_Nf_Vm
56	7	0	Les	Det	Nm_and_Nf_Vm
57	7	1	budgets	N1m	Nm_and_Nf_Vm
58	7	2	et	et	Nm_and_Nf_Vm
59	7	3	les	Det	Nm_and_Nf_Vm
60	7	4	réductions	N2f	Nm_and_Nf_Vm
61	7	5	étaient	sont	Nm_and_Nf_Vm
62	7	6	accordés	Masc	Nm_and_Nf_Vm
63	7	8	<eos>	End	Nm_and_Nf_Vm
64	8	0	Les	Det	Nm_and_Nf_Vm
65	8	1	appareils	N1m	Nm_and_Nf_Vm
66	8	2	et	et	Nm_and_Nf_Vm
67	8	3	les	Det	Nm_and_Nf_Vm
68	8	4	technologies	N2f	Nm_and_Nf_Vm
69	8	5	étaient	sont	Nm_and_Nf_Vm
70	8	6	adaptés	Masc	Nm_and_Nf_Vm
71	8	8	<eos>	End	Nm_and_Nf_Vm
72	9	0	Les	Det	Nm_and_Nf_Vm
73	9	1	usages	N1m	Nm_and_Nf_Vm
74	9	2	et	et	Nm_and_Nf_Vm
75	9	3	les	Det	Nm_and_Nf_Vm
76	9	4	conséquences	N2f	Nm_and_Nf_Vm
77	9	5	étaient	sont	Nm_and_Nf_Vm
78	9	6	attendus	Masc	Nm_and_Nf_Vm
79	9	8	<eos>	End	Nm_and_Nf_Vm
80	10	0	Les	Det	Nm_and_Nf_Vm
81	10	1	événements	N1m	Nm_and_Nf_Vm
82	10	2	et	et	Nm_and_Nf_Vm
83	10	3	les	Det	Nm_and_Nf_Vm
84	10	4	activités	N2f	Nm_and_Nf_Vm
85	10	5	étaient	sont	Nm_and_Nf_Vm
86	10	6	produits	Masc	Nm_and_Nf_Vm
87	10	8	<eos>	End	Nm_and_Nf_Vm
88	11	0	Les	Det	Nm_and_Nf_Vm
89	11	1	immeubles	N1m	Nm_and_Nf_Vm
90	11	2	et	et	Nm_and_Nf_Vm
91	11	3	les	Det	Nm_and_Nf_Vm
92	11	4	maisons	N2f	Nm_and_Nf_Vm
93	11	5	étaient	sont	Nm_and_Nf_Vm
94	11	6	nouveaux	Masc	Nm_and_Nf_Vm
95	11	8	<eos>	End	Nm_and_Nf_Vm
96	12	0	Les	Det	Nm_and_Nf_Vm
97	12	1	tissus	N1m	Nm_and_Nf_Vm
98	12	2	et	et	Nm_and_Nf_Vm
99	12	3	les	Det	Nm_and_Nf_Vm
100	12	4	matières	N2f	Nm_and_Nf_Vm
101	12	5	sont	sont	Nm_and_Nf_Vm
102	12	6	connus	Masc	Nm_and_Nf_Vm
103	12	8	<eos>	End	Nm_and_Nf_Vm
104	13	0	Les	Det	Nm_and_Nf_Vm
105	13	1	lieux	N1m	Nm_and_Nf_Vm
106	13	2	et	et	Nm_and_Nf_Vm
107	13	3	les	Det	Nm_and_Nf_Vm
108	13	4	dates	N2f	Nm_and_Nf_Vm
109	13	5	sont	sont	Nm_and_Nf_Vm
110	13	6	fixés	Masc	Nm_and_Nf_Vm
111	13	8	<eos>	End	Nm_and_Nf_Vm
112	14	0	Les	Det	Nm_and_Nf_Vm
113	14	1	établissements	N1m	Nm_and_Nf_Vm
114	14	2	et	et	Nm_and_Nf_Vm
115	14	3	les	Det	Nm_and_Nf_Vm
116	14	4	écoles	N2f	Nm_and_Nf_Vm
117	14	5	sont	sont	Nm_and_Nf_Vm
118	14	6	ouverts	Masc	Nm_and_Nf_Vm
119	14	8	<eos>	End	Nm_and_Nf_Vm
120	15	0	Les	Det	Nm_and_Nf_Vm
121	15	1	comportements	N1m	Nm_and_Nf_Vm
122	15	2	et	et	Nm_and_Nf_Vm
123	15	3	les	Det	Nm_and_Nf_Vm
124	15	4	attitudes	N2f	Nm_and_Nf_Vm
125	15	5	sont	sont	Nm_and_Nf_Vm
126	15	6	mauvais	Masc	Nm_and_Nf_Vm
127	15	8	<eos>	End	Nm_and_Nf_Vm
128	16	0	Les	Det	Nm_and_Nf_Vm
129	16	1	objectifs	N1m	Nm_and_Nf_Vm
130	16	2	et	et	Nm_and_Nf_Vm
131	16	3	les	Det	Nm_and_Nf_Vm
132	16	4	principes	N2f	Nm_and_Nf_Vm
133	16	5	sont	sont	Nm_and_Nf_Vm
134	16	6	prêts	Masc	Nm_and_Nf_Vm
135	16	8	<eos>	End	Nm_and_Nf_Vm
136	17	0	Les	Det	Nm_and_Nf_Vm
137	17	1	risques	N1m	Nm_and_Nf_Vm
138	17	2	et	et	Nm_and_Nf_Vm
139	17	3	les	Det	Nm_and_Nf_Vm
140	17	4	garanties	N2f	Nm_and_Nf_Vm
141	17	5	sont	sont	Nm_and_Nf_Vm
142	17	6	considérés	Masc	Nm_and_Nf_Vm
143	17	8	<eos>	End	Nm_and_Nf_Vm
144	18	0	Les	Det	Nm_and_Nf_Vm
145	18	1	intérêts	N1m	Nm_and_Nf_Vm
146	18	2	et	et	Nm_and_Nf_Vm
147	18	3	les	Det	Nm_and_Nf_Vm
148	18	4	primes	N2f	Nm_and_Nf_Vm
149	18	5	sont	sont	Nm_and_Nf_Vm
150	18	6	élevés	Masc	Nm_and_Nf_Vm
151	18	8	<eos>	End	Nm_and_Nf_Vm
152	19	0	Les	Det	Nm_and_Nf_Vm
153	19	1	livres	N1m	Nm_and_Nf_Vm
154	19	2	et	et	Nm_and_Nf_Vm
155	19	3	les	Det	Nm_and_Nf_Vm
156	19	4	histoires	N2f	Nm_and_Nf_Vm
157	19	5	sont	sont	Nm_and_Nf_Vm
158	19	6	intéressants	Masc	Nm_and_Nf_Vm
159	19	8	<eos>	End	Nm_and_Nf_Vm
160	20	0	Les	Det	Nm_and_Nf_Vm
161	20	1	barrages	N1m	Nm_and_Nf_Vm
162	20	2	et	et	Nm_and_Nf_Vm
163	20	3	les	Det	Nm_and_Nf_Vm
164	20	4	manifestations	N2f	Nm_and_Nf_Vm
165	20	5	sont	sont	Nm_and_Nf_Vm
166	20	6	prévus	Masc	Nm_and_Nf_Vm
167	20	8	<eos>	End	Nm_and_Nf_Vm
168	21	0	Les	Det	Nm_and_Nf_Vm
169	21	1	logiciels	N1m	Nm_and_Nf_Vm
170	21	2	et	et	Nm_and_Nf_Vm
171	21	3	les	Det	Nm_and_Nf_Vm
172	21	4	applications	N2f	Nm_and_Nf_Vm
