	sent_index	word_index	word	region	condition
0	0	0	Les	det1pl	and_pl_pl-Vsg
1	0	1	maires	np1pl	and_pl_pl-Vsg
2	0	2	et	and	and_pl_pl-Vsg
3	0	3	les	det2pl	and_pl_pl-Vsg
4	0	4	conseillers	np2pl	and_pl_pl-Vsg
5	0	5	va	Vsg	and_pl_pl-Vsg
6	0	7	<eos>	End	and_pl_pl-Vsg
7	1	0	Les	det1pl	and_pl_pl-Vsg
8	1	1	dirigeants	np1pl	and_pl_pl-Vsg
9	1	2	et	and	and_pl_pl-Vsg
10	1	3	les	det2pl	and_pl_pl-Vsg
11	1	4	joueurs	np2pl	and_pl_pl-Vsg
12	1	5	va	Vsg	and_pl_pl-Vsg
13	1	7	<eos>	End	and_pl_pl-Vsg
14	2	0	Les	det1pl	and_pl_pl-Vsg
15	2	1	présidents	np1pl	and_pl_pl-Vsg
16	2	2	et	and	and_pl_pl-Vsg
17	2	3	les	det2pl	and_pl_pl-Vsg
18	2	4	ministres	np2pl	and_pl_pl-Vsg
19	2	5	va	Vsg	and_pl_pl-Vsg
20	2	7	<eos>	End	and_pl_pl-Vsg
21	3	0	Les	det1pl	and_pl_pl-Vsg
22	3	1	animateurs	np1pl	and_pl_pl-Vsg
23	3	2	et	and	and_pl_pl-Vsg
24	3	3	les	det2pl	and_pl_pl-Vsg
25	3	4	invités	np2pl	and_pl_pl-Vsg
26	3	5	va	Vsg	and_pl_pl-Vsg
27	3	7	<eos>	End	and_pl_pl-Vsg
28	4	0	Les	det1pl	and_pl_pl-Vsg
29	4	1	gouverneurs	np1pl	and_pl_pl-Vsg
30	4	2	et	and	and_pl_pl-Vsg
31	4	3	les	det2pl	and_pl_pl-Vsg
32	4	4	préfets	np2pl	and_pl_pl-Vsg
33	4	5	va	Vsg	and_pl_pl-Vsg
34	4	7	<eos>	End	and_pl_pl-Vsg
35	5	0	Les	det1pl	and_pl_pl-Vsg
36	5	1	bébés	np1pl	and_pl_pl-Vsg
37	5	2	et	and	and_pl_pl-Vsg
38	5	3	les	det2pl	and_pl_pl-Vsg
39	5	4	enfants	np2pl	and_pl_pl-Vsg
40	5	5	va	Vsg	and_pl_pl-Vsg
41	5	7	<eos>	End	and_pl_pl-Vsg
42	6	0	Mes	det1pl	and_pl_pl-Vsg
43	6	1	frère	np1pl	and_pl_pl-Vsg
44	6	2	et	and	and_pl_pl-Vsg
45	6	3	mes	det2pl	and_pl_pl-Vsg
46	6	4	amis	np2pl	and_pl_pl-Vsg
47	6	5	va	Vsg	and_pl_pl-Vsg
48	6	7	<eos>	End	and_pl_pl-Vsg
49	7	0	Les	det1pl	and_pl_pl-Vsg
50	7	1	médecins	np1pl	and_pl_pl-Vsg
51	7	2	et	and	and_pl_pl-Vsg
52	7	3	les	det2pl	and_pl_pl-Vsg
53	7	4	administrateurs	np2pl	and_pl_pl-Vsg
54	7	5	va	Vsg	and_pl_pl-Vsg
55	7	7	<eos>	End	and_pl_pl-Vsg
56	8	0	Les	det1pl	and_pl_pl-Vsg
57	8	1	agents	np1pl	and_pl_pl-Vsg
58	8	2	et	and	and_pl_pl-Vsg
59	8	3	les	det2pl	and_pl_pl-Vsg
60	8	4	secrétaires	np2pl	and_pl_pl-Vsg
61	8	5	va	Vsg	and_pl_pl-Vsg
62	8	7	<eos>	End	and_pl_pl-Vsg
63	9	0	Les	det1pl	and_pl_pl-Vsg
64	9	1	patrons	np1pl	and_pl_pl-Vsg
65	9	2	et	and	and_pl_pl-Vsg
66	9	3	les	det2pl	and_pl_pl-Vsg
67	9	4	collègues	np2pl	and_pl_pl-Vsg
68	9	5	va	Vsg	and_pl_pl-Vsg
69	9	7	<eos>	End	and_pl_pl-Vsg
70	10	0	Les	det1pl	and_pl_pl-Vsg
71	10	1	directeurs	np1pl	and_pl_pl-Vsg
72	10	2	et	and	and_pl_pl-Vsg
73	10	3	les	det2pl	and_pl_pl-Vsg
74	10	4	employés	np2pl	and_pl_pl-Vsg
75	10	5	va	Vsg	and_pl_pl-Vsg
76	10	7	<eos>	End	and_pl_pl-Vsg
77	11	0	Les	det1pl	and_pl_pl-Vsg
78	11	1	techniciens	np1pl	and_pl_pl-Vsg
79	11	2	et	and	and_pl_pl-Vsg
80	11	3	les	det2pl	and_pl_pl-Vsg
81	11	4	ingénieurs	np2pl	and_pl_pl-Vsg
82	11	5	va	Vsg	and_pl_pl-Vsg
83	11	7	<eos>	End	and_pl_pl-Vsg
84	12	0	Les	det1pl	and_pl_pl-Vsg
85	12	1	parcs	np1pl	and_pl_pl-Vsg
86	12	2	et	and	and_pl_pl-Vsg
87	12	3	les	det2pl	and_pl_pl-Vsg
88	12	4	châteaux	np2pl	and_pl_pl-Vsg
89	12	5	va	Vsg	and_pl_pl-Vsg
90	12	7	<eos>	End	and_pl_pl-Vsg
91	13	0	Les	det1pl	and_pl_pl-Vsg
92	13	1	meetings	np1pl	and_pl_pl-Vsg
93	13	2	et	and	and_pl_pl-Vsg
94	13	3	les	det2pl	and_pl_pl-Vsg
95	13	4	discours	np2pl	and_pl_pl-Vsg
96	13	5	va	Vsg	and_pl_pl-Vsg
97	13	7	<eos>	End	and_pl_pl-Vsg
98	14	0	Les	det1pl	and_pl_pl-Vsg
99	14	1	avions	np1pl	and_pl_pl-Vsg
100	14	2	et	and	and_pl_pl-Vsg
101	14	3	les	det2pl	and_pl_pl-Vsg
102	14	4	trains	np2pl	and_pl_pl-Vsg
103	14	5	va	Vsg	and_pl_pl-Vsg
104	14	7	<eos>	End	and_pl_pl-Vsg
105	15	0	Les	det1pl	and_pl_pl-Vsg
106	15	1	loyers	np1pl	and_pl_pl-Vsg
107	15	2	et	and	and_pl_pl-Vsg
108	15	3	les	det2pl	and_pl_pl-Vsg
109	15	4	transports	np2pl	and_pl_pl-Vsg
110	15	5	va	Vsg	and_pl_pl-Vsg
111	15	7	<eos>	End	and_pl_pl-Vsg
112	16	0	Les	det1pl	and_pl_pl-Vsg
113	16	1	villes	np1pl	and_pl_pl-Vsg
114	16	2	et	and	and_pl_pl-Vsg
115	16	3	les	det2pl	and_pl_pl-Vsg
116	16	4	régions	np2pl	and_pl_pl-Vsg
117	16	5	va	Vsg	and_pl_pl-Vsg
118	16	7	<eos>	End	and_pl_pl-Vsg
119	17	0	Les	det1pl	and_pl_pl-Vsg
120	17	1	partis	np1pl	and_pl_pl-Vsg
121	17	2	et	and	and_pl_pl-Vsg
122	17	3	les	det2pl	and_pl_pl-Vsg
123	17	4	syndicats	np2pl	and_pl_pl-Vsg
124	17	5	va	Vsg	and_pl_pl-Vsg
125	17	7	<eos>	End	and_pl_pl-Vsg
126	18	0	Les	det1pl	and_pl_pl-Vsg
127	18	1	bus	np1pl	and_pl_pl-Vsg
128	18	2	et	and	and_pl_pl-Vsg
129	18	3	les	det2pl	and_pl_pl-Vsg
130	18	4	métro	np2pl	and_pl_pl-Vsg
131	18	5	va	Vsg	and_pl_pl-Vsg
132	18	7	<eos>	End	and_pl_pl-Vsg
133	19	0	Les	det1pl	and_pl_pl-Vsg
134	19	1	restaurants	np1pl	and_pl_pl-Vsg
135	19	2	et	and	and_pl_pl-Vsg
