	sent_index	word_index	word	region	condition
0	0	0	Il	prefix1	que_pl_pl-Vsg
1	0	1	a	prefix1	que_pl_pl-Vsg
2	0	2	dit	prefix1	que_pl_pl-Vsg
3	0	3	que	prefix1	que_pl_pl-Vsg
4	0	4	les	det1pl	que_pl_pl-Vsg
5	0	5	maires	np1pl	que_pl_pl-Vsg
6	0	6	et	and	que_pl_pl-Vsg
7	0	7	les	det2pl	que_pl_pl-Vsg
8	0	8	conseillers	np2pl	que_pl_pl-Vsg
9	0	9	va	Vsg	que_pl_pl-Vsg
10	0	11	<eos>	que_pl_pl-Vsg	
11	1	0	Ils	prefix1	que_pl_pl-Vsg
12	1	1	ont	prefix1	que_pl_pl-Vsg
13	1	2	pensé	prefix1	que_pl_pl-Vsg
14	1	3	que	prefix1	que_pl_pl-Vsg
15	1	4	les	det1pl	que_pl_pl-Vsg
16	1	5	dirigeants	np1pl	que_pl_pl-Vsg
17	1	6	et	and	que_pl_pl-Vsg
18	1	7	les	det2pl	que_pl_pl-Vsg
19	1	8	joueurs	np2pl	que_pl_pl-Vsg
20	1	9	va	Vsg	que_pl_pl-Vsg
21	1	11	<eos>	que_pl_pl-Vsg	
22	2	0	Il	prefix1	que_pl_pl-Vsg
23	2	1	suppose	prefix1	que_pl_pl-Vsg
24	2	2	que	prefix1	que_pl_pl-Vsg
25	2	3	les	det1pl	que_pl_pl-Vsg
26	2	4	présidents	np1pl	que_pl_pl-Vsg
27	2	5	et	and	que_pl_pl-Vsg
28	2	6	les	det2pl	que_pl_pl-Vsg
29	2	7	ministres	np2pl	que_pl_pl-Vsg
30	2	8	va	Vsg	que_pl_pl-Vsg
31	2	10	<eos>	que_pl_pl-Vsg	
32	3	0	Elle	prefix1	que_pl_pl-Vsg
33	3	1	estime	prefix1	que_pl_pl-Vsg
34	3	2	que	prefix1	que_pl_pl-Vsg
35	3	3	les	det1pl	que_pl_pl-Vsg
36	3	4	animateurs	np1pl	que_pl_pl-Vsg
37	3	5	et	and	que_pl_pl-Vsg
