	sent_index	word_index	word	region	condition
0	0	0	Nous	Prefix2	verb_Nm_and_Nf_Vm
1	0	1	avons	Prefix2	verb_Nm_and_Nf_Vm
2	0	2	accepté	Prefix2	verb_Nm_and_Nf_Vm
3	0	3	les	Det	verb_Nm_and_Nf_Vm
4	0	4	prix	N1m	verb_Nm_and_Nf_Vm
5	0	5	et	et	verb_Nm_and_Nf_Vm
6	0	6	les	Det	verb_Nm_and_Nf_Vm
7	0	7	dépenses	N2f	verb_Nm_and_Nf_Vm
8	0	8	étaient	sont	verb_Nm_and_Nf_Vm
9	0	9	importants	Masc	verb_Nm_and_Nf_Vm
10	0	11	<eos>	End	verb_Nm_and_Nf_Vm
11	1	0	Ils	Prefix2	verb_Nm_and_Nf_Vm
12	1	1	ont	Prefix2	verb_Nm_and_Nf_Vm
13	1	2	franchi	Prefix2	verb_Nm_and_Nf_Vm
14	1	3	les	Det	verb_Nm_and_Nf_Vm
15	1	4	obstacles	N1m	verb_Nm_and_Nf_Vm
16	1	5	et	et	verb_Nm_and_Nf_Vm
17	1	6	les	Det	verb_Nm_and_Nf_Vm
18	1	7	difficultés	N2f	verb_Nm_and_Nf_Vm
19	1	8	étaient	sont	verb_Nm_and_Nf_Vm
20	1	9	nombreux	Masc	verb_Nm_and_Nf_Vm
21	1	11	<eos>	End	verb_Nm_and_Nf_Vm
22	2	0	Elles	Prefix2	verb_Nm_and_Nf_Vm
23	2	1	ont	Prefix2	verb_Nm_and_Nf_Vm
24	2	2	cherché	Prefix2	verb_Nm_and_Nf_Vm
25	2	3	les	Det	verb_Nm_and_Nf_Vm
26	2	4	talents	N1m	verb_Nm_and_Nf_Vm
27	2	5	et	et	verb_Nm_and_Nf_Vm
28	2	6	les	Det	verb_Nm_and_Nf_Vm
29	2	7	qualités	N2f	verb_Nm_and_Nf_Vm
30	2	8	étaient	sont	verb_Nm_and_Nf_Vm
31	2	9	divers	Masc	verb_Nm_and_Nf_Vm
32	2	11	<eos>	End	verb_Nm_and_Nf_Vm
33	3	0	Il	Prefix2	verb_Nm_and_Nf_Vm
34	3	1	a	Prefix2	verb_Nm_and_Nf_Vm
35	3	2	écrit	Prefix2	verb_Nm_and_Nf_Vm
36	3	3	les	Det	verb_Nm_and_Nf_Vm
37	3	4	procédures	N1m	verb_Nm_and_Nf_Vm
38	3	5	et	et	verb_Nm_and_Nf_Vm
39	3	6	les	Det	verb_Nm_and_Nf_Vm
40	3	7	règles	N2f	verb_Nm_and_Nf_Vm
41	3	8	étaient	sont	verb_Nm_and_Nf_Vm
42	3	9	publiés	Masc	verb_Nm_and_Nf_Vm
43	3	11	<eos>	End	verb_Nm_and_Nf_Vm
44	4	0	Elle	Prefix2	verb_Nm_and_Nf_Vm
45	4	1	a	Prefix2	verb_Nm_and_Nf_Vm
46	4	2	subi	Prefix2	verb_Nm_and_Nf_Vm
47	4	3	les	Det	verb_Nm_and_Nf_Vm
48	4	4	traitements	N1m	verb_Nm_and_Nf_Vm
49	4	5	et	et	verb_Nm_and_Nf_Vm
50	4	6	les	Det	verb_Nm_and_Nf_Vm
51	4	7	opérations	N2f	verb_Nm_and_Nf_Vm
52	4	8	étaient	sont	verb_Nm_and_Nf_Vm
53	4	9	chers	Masc	verb_Nm_and_Nf_Vm
54	4	11	<eos>	End	verb_Nm_and_Nf_Vm
55	5	0	J'	Prefix2	verb_Nm_and_Nf_Vm
56	5	1	ai	Prefix2	verb_Nm_and_Nf_Vm
57	5	2	acheté	Prefix2	verb_Nm_and_Nf_Vm
58	5	3	les	Det	verb_Nm_and_Nf_Vm
59	5	4	ordinateurs	N1m	verb_Nm_and_Nf_Vm
60	5	5	et	et	verb_Nm_and_Nf_Vm
61	5	6	les	Det	verb_Nm_and_Nf_Vm
62	5	7	machines	N2f	verb_Nm_and_Nf_Vm
63	5	8	étaient	sont	verb_Nm_and_Nf_Vm
64	5	9	assurés	Masc	verb_Nm_and_Nf_Vm
65	5	11	<eos>	End	verb_Nm_and_Nf_Vm
66	6	0	Nous	Prefix2	verb_Nm_and_Nf_Vm
67	6	1	avons	Prefix2	verb_Nm_and_Nf_Vm
68	6	2	découvert	Prefix2	verb_Nm_and_Nf_Vm
69	6	3	les	Det	verb_Nm_and_Nf_Vm
70	6	4	départements	N1m	verb_Nm_and_Nf_Vm
71	6	5	et	et	verb_Nm_and_Nf_Vm
72	6	6	les	Det	verb_Nm_and_Nf_Vm
73	6	7	régions	N2f	verb_Nm_and_Nf_Vm
74	6	8	étaient	sont	verb_Nm_and_Nf_Vm
75	6	9	rejetés	Masc	verb_Nm_and_Nf_Vm
76	6	11	<eos>	End	verb_Nm_and_Nf_Vm
77	7	0	Ils	Prefix2	verb_Nm_and_Nf_Vm
78	7	1	ont	Prefix2	verb_Nm_and_Nf_Vm
79	7	2	étudié	Prefix2	verb_Nm_and_Nf_Vm
80	7	3	les	Det	verb_Nm_and_Nf_Vm
81	7	4	budgets	N1m	verb_Nm_and_Nf_Vm
82	7	5	et	et	verb_Nm_and_Nf_Vm
83	7	6	les	Det	verb_Nm_and_Nf_Vm
84	7	7	réductions	N2f	verb_Nm_and_Nf_Vm
85	7	8	étaient	sont	verb_Nm_and_Nf_Vm
86	7	9	accordés	Masc	verb_Nm_and_Nf_Vm
87	7	11	<eos>	End	verb_Nm_and_Nf_Vm
88	8	0	Elles	Prefix2	verb_Nm_and_Nf_Vm
89	8	1	ont	Prefix2	verb_Nm_and_Nf_Vm
90	8	2	utilisé	Prefix2	verb_Nm_and_Nf_Vm
91	8	3	les	Det	verb_Nm_and_Nf_Vm
92	8	4	appareils	N1m	verb_Nm_and_Nf_Vm
93	8	5	et	et	verb_Nm_and_Nf_Vm
94	8	6	les	Det	verb_Nm_and_Nf_Vm
95	8	7	technologies	N2f	verb_Nm_and_Nf_Vm
96	8	8	étaient	sont	verb_Nm_and_Nf_Vm
97	8	9	adaptés	Masc	verb_Nm_and_Nf_Vm
98	8	11	<eos>	End	verb_Nm_and_Nf_Vm
99	9	0	Il	Prefix2	verb_Nm_and_Nf_Vm
100	9	1	a	Prefix2	verb_Nm_and_Nf_Vm
101	9	2	respecté	Prefix2	verb_Nm_and_Nf_Vm
102	9	3	les	Det	verb_Nm_and_Nf_Vm
103	9	4	usages	N1m	verb_Nm_and_Nf_Vm
104	9	5	et	et	verb_Nm_and_Nf_Vm
105	9	6	les	Det	verb_Nm_and_Nf_Vm
106	9	7	conséquences	N2f	verb_Nm_and_Nf_Vm
107	9	8	étaient	sont	verb_Nm_and_Nf_Vm
108	9	9	attendus	Masc	verb_Nm_and_Nf_Vm
109	9	11	<eos>	End	verb_Nm_and_Nf_Vm
110	10	0	Elle	Prefix2	verb_Nm_and_Nf_Vm
111	10	1	a	Prefix2	verb_Nm_and_Nf_Vm
112	10	2	observé	Prefix2	verb_Nm_and_Nf_Vm
113	10	3	les	Det	verb_Nm_and_Nf_Vm
114	10	4	événements	N1m	verb_Nm_and_Nf_Vm
115	10	5	et	et	verb_Nm_and_Nf_Vm
116	10	6	les	Det	verb_Nm_and_Nf_Vm
117	10	7	activités	N2f	verb_Nm_and_Nf_Vm
118	10	8	étaient	sont	verb_Nm_and_Nf_Vm
119	10	9	produits	Masc	verb_Nm_and_Nf_Vm
120	10	11	<eos>	End	verb_Nm_and_Nf_Vm
121	11	0	J'	Prefix2	verb_Nm_and_Nf_Vm
122	11	1	ai	Prefix2	verb_Nm_and_Nf_Vm
123	11	2	vendu	Prefix2	verb_Nm_and_Nf_Vm
124	11	3	les	Det	verb_Nm_and_Nf_Vm
125	11	4	immeubles	N1m	verb_Nm_and_Nf_Vm
126	11	5	et	et	verb_Nm_and_Nf_Vm
127	11	6	les	Det	verb_Nm_and_Nf_Vm
128	11	7	maisons	N2f	verb_Nm_and_Nf_Vm
129	11	8	étaient	sont	verb_Nm_and_Nf_Vm
130	11	9	nouveaux	Masc	verb_Nm_and_Nf_Vm
131	11	11	<eos>	End	verb_Nm_and_Nf_Vm
132	12	0	Nous	Prefix2	verb_Nm_and_Nf_Vm
133	12	1	achetons	Prefix2	verb_Nm_and_Nf_Vm
134	12	2	les	Det	verb_Nm_and_Nf_Vm
135	12	3	tissus	N1m	verb_Nm_and_Nf_Vm
136	12	4	et	et	verb_Nm_and_Nf_Vm
137	12	5	les	Det	verb_Nm_and_Nf_Vm
138	12	6	matières	N2f	verb_Nm_and_Nf_Vm
139	12	7	sont	sont	verb_Nm_and_Nf_Vm
140	12	8	connus	Masc	verb_Nm_and_Nf_Vm
141	12	10	<eos>	End	verb_Nm_and_Nf_Vm
142	13	0	Ils	Prefix2	verb_Nm_and_Nf_Vm
143	13	1	changent	Prefix2	verb_Nm_and_Nf_Vm
144	13	2	les	Det	verb_Nm_and_Nf_Vm
145	13	3	lieux	N1m	verb_Nm_and_Nf_Vm
146	13	4	et	et	verb_Nm_and_Nf_Vm
147	13	5	les	Det	verb_Nm_and_Nf_Vm
148	13	6	dates	N2f	verb_Nm_and_Nf_Vm
149	13	7	sont	sont	verb_Nm_and_Nf_Vm
150	13	8	fixés	Masc	verb_Nm_and_Nf_Vm
151	13	10	<eos>	End	verb_Nm_and_Nf_Vm
152	14	0	Elles	Prefix2	verb_Nm_and_Nf_Vm
153	14	1	approchent	Prefix2	verb_Nm_and_Nf_Vm
154	14	2	les	Det	verb_Nm_and_Nf_Vm
155	14	3	établissements	N1m	verb_Nm_and_Nf_Vm
156	14	4	et	et	verb_Nm_and_Nf_Vm
157	14	5	les	Det	verb_Nm_and_Nf_Vm
158	14	6	écoles	N2f	verb_Nm_and_Nf_Vm
159	14	7	sont	sont	verb_Nm_and_Nf_Vm
160	14	8	ouverts	Masc	verb_Nm_and_Nf_Vm
161	14	10	<eos>	End	verb_Nm_and_Nf_Vm
162	15	0	Il	Prefix2	verb_Nm_and_Nf_Vm
163	15	1	déteste	Prefix2	verb_Nm_and_Nf_Vm
164	15	2	les	Det	verb_Nm_and_Nf_Vm
165	15	3	comportements	N1m	verb_Nm_and_Nf_Vm
166	15	4	et	et	verb_Nm_and_Nf_Vm
167	15	5	les	Det	verb_Nm_and_Nf_Vm
168	15	6	attitudes	N2f	verb_Nm_and_Nf_Vm
169	15	7	sont	sont	verb_Nm_and_Nf_Vm
170	15	8	mauvais	Masc	verb_Nm_and_Nf_Vm
171	15	10	<eos>	End	verb_Nm_and_Nf_Vm
172	16	0	Elle	Prefix2	verb_Nm_and_Nf_Vm
173	16	1	analyse	Prefix2	verb_Nm_and_Nf_Vm
174	16	2	les	Det	verb_Nm_and_Nf_Vm
175	16	3	objectifs	N1m	verb_Nm_and_Nf_Vm
176	16	4	et	et	verb_Nm_and_Nf_Vm
177	16	5	les	Det	verb_Nm_and_Nf_Vm
178	16	6	principes	N2f	verb_Nm_and_Nf_Vm
179	16	7	sont	sont	verb_Nm_and_Nf_Vm
180	16	8	prêts	Masc	verb_Nm_and_Nf_Vm
181	16	10	<eos>	End	verb_Nm_and_Nf_Vm
182	17	0	J'	Prefix2	verb_Nm_and_Nf_Vm
183	17	1	ignore	Prefix2	verb_Nm_and_Nf_Vm
184	17	2	les	Det	verb_Nm_and_Nf_Vm
185	17	3	risques	N1m	verb_Nm_and_Nf_Vm
186	17	4	et	et	verb_Nm_and_Nf_Vm
187	17	5	les	Det	verb_Nm_and_Nf_Vm
188	17	6	garanties	N2f	verb_Nm_and_Nf_Vm
189	17	7	sont	sont	verb_Nm_and_Nf_Vm
190	17	8	considérés	Masc	verb_Nm_and_Nf_Vm
191	17	10	<eos>	End	verb_Nm_and_Nf_Vm
192	18	0	Nous	Prefix2	verb_Nm_and_Nf_Vm
193	18	1	avons	Prefix2	verb_Nm_and_Nf_Vm
194	18	2	les	Det	verb_Nm_and_Nf_Vm
195	18	3	intérêts	N1m	verb_Nm_and_Nf_Vm
196	18	4	et	et	verb_Nm_and_Nf_Vm
197	18	5	les	Det	verb_Nm_and_Nf_Vm
198	18	6	primes	N2f	verb_Nm_and_Nf_Vm
199	18	7	sont	sont	verb_Nm_and_Nf_Vm
200	18	8	élevés	Masc	verb_Nm_and_Nf_Vm
201	18	10	<eos>	End	verb_Nm_and_Nf_Vm
202	19	0	Ils	Prefix2	verb_Nm_and_Nf_Vm
203	19	1	aiment	Prefix2	verb_Nm_and_Nf_Vm
204	19	2	les	Det	verb_Nm_and_Nf_Vm
205	19	3	livres	N1m	verb_Nm_and_Nf_Vm
206	19	4	et	et	verb_Nm_and_Nf_Vm
207	19	5	les	Det	verb_Nm_and_Nf_Vm
208	19	6	histoires	N2f	verb_Nm_and_Nf_Vm
209	19	7	sont	sont	verb_Nm_and_Nf_Vm
210	19	8	intéressants	Masc	verb_Nm_and_Nf_Vm
211	19	10	<eos>	End	verb_Nm_and_Nf_Vm
