	sent_index	word_index	word	region	condition
0	0	0	What	prefix	Vsg-Nsg-and
1	0	1	is	Vsg	Vsg-Nsg-and
2	0	2	the	det1	Vsg-Nsg-and
3	0	3	bull	np1sg	Vsg-Nsg-and
4	0	4	and	and	Vsg-Nsg-and
5	0	6	<eos>	Vsg-Nsg-and	
6	1	0	What	prefix	Vsg-Nsg-and
7	1	1	is	Vsg	Vsg-Nsg-and
8	1	2	the	det1	Vsg-Nsg-and
9	1	3	door	np1sg	Vsg-Nsg-and
10	1	4	and	and	Vsg-Nsg-and
11	1	6	<eos>	Vsg-Nsg-and	
12	2	0	What	prefix	Vsg-Nsg-and
13	2	1	is	Vsg	Vsg-Nsg-and
14	2	2	the	det1	Vsg-Nsg-and
15	2	3	toy	np1sg	Vsg-Nsg-and
16	2	4	and	and	Vsg-Nsg-and
17	2	6	<eos>	Vsg-Nsg-and	
18	3	0	What	prefix	Vsg-Nsg-and
19	3	1	is	Vsg	Vsg-Nsg-and
20	3	2	the	det1	Vsg-Nsg-and
21	3	3	headline	np1sg	Vsg-Nsg-and
22	3	4	and	and	Vsg-Nsg-and
23	3	6	<eos>	Vsg-Nsg-and	
24	4	0	What	prefix	Vsg-Nsg-and
25	4	1	is	Vsg	Vsg-Nsg-and
26	4	2	the	det1	Vsg-Nsg-and
27	4	3	leader	np1sg	Vsg-Nsg-and
28	4	4	and	and	Vsg-Nsg-and
29	4	6	<eos>	Vsg-Nsg-and	
30	5	0	What	prefix	Vsg-Nsg-and
31	5	1	is	Vsg	Vsg-Nsg-and
32	5	2	the	det1	Vsg-Nsg-and
33	5	3	physician	np1sg	Vsg-Nsg-and
34	5	4	and	and	Vsg-Nsg-and
35	5	6	<eos>	Vsg-Nsg-and	
36	6	0	What	prefix	Vsg-Nsg-and
37	6	1	is	Vsg	Vsg-Nsg-and
38	6	2	the	det1	Vsg-Nsg-and
39	6	3	expert	np1sg	Vsg-Nsg-and
40	6	4	and	and	Vsg-Nsg-and
41	6	6	<eos>	Vsg-Nsg-and	
42	7	0	What	prefix	Vsg-Nsg-and
43	7	1	is	Vsg	Vsg-Nsg-and
44	7	2	the	det1	Vsg-Nsg-and
45	7	3	stockbroker	np1sg	Vsg-Nsg-and
46	7	4	and	and	Vsg-Nsg-and
47	7	6	<eos>	Vsg-Nsg-and	
48	8	0	What	prefix	Vsg-Nsg-and
49	8	1	is	Vsg	Vsg-Nsg-and
50	8	2	the	det1	Vsg-Nsg-and
51	8	3	commander	np1sg	Vsg-Nsg-and
52	8	4	and	and	Vsg-Nsg-and
53	8	6	<eos>	Vsg-Nsg-and	
54	9	0	What	prefix	Vsg-Nsg-and
55	9	1	is	Vsg	Vsg-Nsg-and
56	9	2	the	det1	Vsg-Nsg-and
57	9	3	pilot	np1sg	Vsg-Nsg-and
58	9	4	and	and	Vsg-Nsg-and
59	9	6	<eos>	Vsg-Nsg-and	
60	10	0	What	prefix	Vsg-Nsg-and
61	10	1	is	Vsg	Vsg-Nsg-and
62	10	2	the	det1	Vsg-Nsg-and
63	10	3	knight	np1sg	Vsg-Nsg-and
64	10	4	and	and	Vsg-Nsg-and
65	10	6	<eos>	Vsg-Nsg-and	
66	11	0	What	prefix	Vsg-Nsg-and
67	11	1	is	Vsg	Vsg-Nsg-and
68	11	2	the	det1	Vsg-Nsg-and
69	11	3	key	np1sg	Vsg-Nsg-and
70	11	4	and	and	Vsg-Nsg-and
71	11	6	<eos>	Vsg-Nsg-and	
72	12	0	What	prefix	Vsg-Nsg-and
73	12	1	is	Vsg	Vsg-Nsg-and
74	12	2	the	det1	Vsg-Nsg-and
75	12	3	memo	np1sg	Vsg-Nsg-and
76	12	4	and	and	Vsg-Nsg-and
77	12	6	<eos>	Vsg-Nsg-and	
78	13	0	What	prefix	Vsg-Nsg-and
79	13	1	is	Vsg	Vsg-Nsg-and
80	13	2	the	det1	Vsg-Nsg-and
81	13	3	warning	np1sg	Vsg-Nsg-and
82	13	4	and	and	Vsg-Nsg-and
83	13	6	<eos>	Vsg-Nsg-and	
84	14	0	What	prefix	Vsg-Nsg-and
85	14	1	is	Vsg	Vsg-Nsg-and
86	14	2	the	det1	Vsg-Nsg-and
87	14	3	protest	np1sg	Vsg-Nsg-and
88	14	4	and	and	Vsg-Nsg-and
89	14	6	<eos>	Vsg-Nsg-and	
90	15	0	What	prefix	Vsg-Nsg-and
91	15	1	is	Vsg	Vsg-Nsg-and
92	15	2	the	det1	Vsg-Nsg-and
93	15	3	investigation	np1sg	Vsg-Nsg-and
94	15	4	and	and	Vsg-Nsg-and
95	15	6	<eos>	Vsg-Nsg-and	
96	16	0	What	prefix	Vsg-Nsg-and
97	16	1	is	Vsg	Vsg-Nsg-and
98	16	2	the	det1	Vsg-Nsg-and
99	16	3	driver	np1sg	Vsg-Nsg-and
100	16	4	and	and	Vsg-Nsg-and
101	16	6	<eos>	Vsg-Nsg-and	
102	17	0	What	prefix	Vsg-Nsg-and
103	17	1	is	Vsg	Vsg-Nsg-and
104	17	2	the	det1	Vsg-Nsg-and
105	17	3	wall	np1sg	Vsg-Nsg-and
106	17	4	and	and	Vsg-Nsg-and
107	17	6	<eos>	Vsg-Nsg-and	
108	18	0	What	prefix	Vsg-Nsg-and
109	18	1	is	Vsg	Vsg-Nsg-and
110	18	2	the	det1	Vsg-Nsg-and
111	18	3	apartment	np1sg	Vsg-Nsg-and
112	18	4	and	and	Vsg-Nsg-and
113	18	6	<eos>	Vsg-Nsg-and	
114	19	0	What	prefix	Vsg-Nsg-and
115	19	1	is	Vsg	Vsg-Nsg-and
116	19	2	the	det1	Vsg-Nsg-and
117	19	3	pedestrian	np1sg	Vsg-Nsg-and
118	19	4	and	and	Vsg-Nsg-and
119	19	6	<eos>	Vsg-Nsg-and	
120	20	0	What	prefix	Vsg-Nsg-and
121	20	1	is	Vsg	Vsg-Nsg-and
122	20	2	the	det1	Vsg-Nsg-and
123	20	3	coach	np1sg	Vsg-Nsg-and
124	20	4	and	and	Vsg-Nsg-and
125	20	6	<eos>	Vsg-Nsg-and	
126	21	0	What	prefix	Vsg-Nsg-and
127	21	1	is	Vsg	Vsg-Nsg-and
128	21	2	the	det1	Vsg-Nsg-and
129	21	3	episode	np1sg	Vsg-Nsg-and
130	21	4	and	and	Vsg-Nsg-and
131	21	6	<eos>	Vsg-Nsg-and	
132	22	0	What	prefix	Vsg-Nsg-and
133	22	1	is	Vsg	Vsg-Nsg-and
134	22	2	the	det1	Vsg-Nsg-and
135	22	3	program	np1sg	Vsg-Nsg-and
136	22	4	and	and	Vsg-Nsg-and
137	22	6	<eos>	Vsg-Nsg-and	
138	23	0	What	prefix	Vsg-Nsg-and
139	23	1	is	Vsg	Vsg-Nsg-and
140	23	2	the	det1	Vsg-Nsg-and
141	23	3	manager	np1sg	Vsg-Nsg-and
142	23	4	and	and	Vsg-Nsg-and
143	23	6	<eos>	Vsg-Nsg-and	
144	24	0	What	prefix	Vsg-Nsg-and
145	24	1	is	Vsg	Vsg-Nsg-and
146	24	2	the	det1	Vsg-Nsg-and
147	24	3	mayors	np1sg	Vsg-Nsg-and
148	24	4	and	and	Vsg-Nsg-and
149	24	6	<eos>	Vsg-Nsg-and	
150	25	0	What	prefix	Vsg-Nsg-and
151	25	1	is	Vsg	Vsg-Nsg-and
152	25	2	the	det1	Vsg-Nsg-and
153	25	3	culture	np1sg	Vsg-Nsg-and
154	25	4	and	and	Vsg-Nsg-and
155	25	6	<eos>	Vsg-Nsg-and	
156	26	0	What	prefix	Vsg-Nsg-and
157	26	1	is	Vsg	Vsg-Nsg-and
158	26	2	the	det1	Vsg-Nsg-and
159	26	3	activity	np1sg	Vsg-Nsg-and
160	26	4	and	and	Vsg-Nsg-and
161	26	6	<eos>	Vsg-Nsg-and	
162	27	0	What	prefix	Vsg-Nsg-and
163	27	1	is	Vsg	Vsg-Nsg-and
164	27	2	the	det1	Vsg-Nsg-and
165	27	3	argument	np1sg	Vsg-Nsg-and
166	27	4	and	and	Vsg-Nsg-and
