	sent_index	word_index	word	region	condition
0	0	0	Je	prefix	Vsg-Nsg-and
1	0	1	me	prefix	Vsg-Nsg-and
2	0	2	demande	prefix	Vsg-Nsg-and
3	0	3	où	prefix	Vsg-Nsg-and
4	0	4	va	Vsg	Vsg-Nsg-and
5	0	5	le	det1sg	Vsg-Nsg-and
6	0	6	maire	np1sg	Vsg-Nsg-and
7	0	7	et	and	Vsg-Nsg-and
8	0	9	<eos>	Vsg-Nsg-and	
9	1	0	Elle	prefix	Vsg-Nsg-and
10	1	1	ne	prefix	Vsg-Nsg-and
11	1	2	sait	prefix	Vsg-Nsg-and
12	1	3	plus	prefix	Vsg-Nsg-and
13	1	4	à	prefix	Vsg-Nsg-and
14	1	5	quelle	prefix	Vsg-Nsg-and
15	1	6	heure	prefix	Vsg-Nsg-and
16	1	7	va	Vsg	Vsg-Nsg-and
17	1	8	le	det1sg	Vsg-Nsg-and
18	1	9	dirigeant	np1sg	Vsg-Nsg-and
19	1	10	et	and	Vsg-Nsg-and
20	1	12	<eos>	Vsg-Nsg-and	
21	2	0	Il	prefix	Vsg-Nsg-and
22	2	1	aimerait	prefix	Vsg-Nsg-and
23	2	2	savoir	prefix	Vsg-Nsg-and
24	2	3	ce	prefix	Vsg-Nsg-and
25	2	4	que	prefix	Vsg-Nsg-and
26	2	5	va	Vsg	Vsg-Nsg-and
27	2	6	le	det1sg	Vsg-Nsg-and
28	2	7	président	np1sg	Vsg-Nsg-and
29	2	8	et	and	Vsg-Nsg-and
30	2	10	<eos>	Vsg-Nsg-and	
31	3	0	Nous	prefix	Vsg-Nsg-and
32	3	1	voulons	prefix	Vsg-Nsg-and
33	3	2	savoir	prefix	Vsg-Nsg-and
34	3	3	ce	prefix	Vsg-Nsg-and
35	3	4	que	prefix	Vsg-Nsg-and
36	3	5	va	Vsg	Vsg-Nsg-and
37	3	6	l'	det1sg	Vsg-Nsg-and
38	3	7	animateur	np1sg	Vsg-Nsg-and
39	3	8	et	and	Vsg-Nsg-and
40	3	10	<eos>	Vsg-Nsg-and	
41	4	0	Je	prefix	Vsg-Nsg-and
42	4	1	me	prefix	Vsg-Nsg-and
43	4	2	demande	prefix	Vsg-Nsg-and
44	4	3	quand	prefix	Vsg-Nsg-and
45	4	4	va	Vsg	Vsg-Nsg-and
46	4	5	le	det1sg	Vsg-Nsg-and
47	4	6	gouverneur	np1sg	Vsg-Nsg-and
48	4	7	et	and	Vsg-Nsg-and
49	4	9	<eos>	Vsg-Nsg-and	
50	5	0	Tu	prefix	Vsg-Nsg-and
51	5	1	ne	prefix	Vsg-Nsg-and
52	5	2	sais	prefix	Vsg-Nsg-and
53	5	3	pas	prefix	Vsg-Nsg-and
54	5	4	ce	prefix	Vsg-Nsg-and
55	5	5	que	prefix	Vsg-Nsg-and
56	5	6	va	Vsg	Vsg-Nsg-and
57	5	7	le	det1sg	Vsg-Nsg-and
58	5	8	bébé	np1sg	Vsg-Nsg-and
59	5	9	et	and	Vsg-Nsg-and
