	sent_index	word_index	word	region	condition
0	0	0	The	det1pl	and_pl_pl-Vsg
1	0	1	bulls	np1pl	and_pl_pl-Vsg
2	0	2	and	and	and_pl_pl-Vsg
3	0	3	the	det2pl	and_pl_pl-Vsg
4	0	4	pigs	np2pl	and_pl_pl-Vsg
5	0	5	is	Vsg	and_pl_pl-Vsg
6	0	7	<eos>	End	and_pl_pl-Vsg
7	1	0	The	det1pl	and_pl_pl-Vsg
8	1	1	doors	np1pl	and_pl_pl-Vsg
9	1	2	and	and	and_pl_pl-Vsg
10	1	3	the	det2pl	and_pl_pl-Vsg
11	1	4	windows	np2pl	and_pl_pl-Vsg
12	1	5	is	Vsg	and_pl_pl-Vsg
13	1	7	<eos>	End	and_pl_pl-Vsg
14	2	0	The	det1pl	and_pl_pl-Vsg
15	2	1	toys	np1pl	and_pl_pl-Vsg
16	2	2	and	and	and_pl_pl-Vsg
17	2	3	the	det2pl	and_pl_pl-Vsg
18	2	4	bottles	np2pl	and_pl_pl-Vsg
19	2	5	is	Vsg	and_pl_pl-Vsg
20	2	7	<eos>	End	and_pl_pl-Vsg
21	3	0	The	det1pl	and_pl_pl-Vsg
22	3	1	headlines	np1pl	and_pl_pl-Vsg
23	3	2	and	and	and_pl_pl-Vsg
24	3	3	the	det2pl	and_pl_pl-Vsg
25	3	4	stories	np2pl	and_pl_pl-Vsg
26	3	5	is	Vsg	and_pl_pl-Vsg
27	3	7	<eos>	End	and_pl_pl-Vsg
28	4	0	The	det1pl	and_pl_pl-Vsg
29	4	1	leaders	np1pl	and_pl_pl-Vsg
30	4	2	and	and	and_pl_pl-Vsg
31	4	3	the	det2pl	and_pl_pl-Vsg
32	4	4	rivals	np2pl	and_pl_pl-Vsg
33	4	5	is	Vsg	and_pl_pl-Vsg
34	4	7	<eos>	End	and_pl_pl-Vsg
35	5	0	The	det1pl	and_pl_pl-Vsg
36	5	1	physicians	np1pl	and_pl_pl-Vsg
37	5	2	and	and	and_pl_pl-Vsg
38	5	3	the	det2pl	and_pl_pl-Vsg
39	5	4	patients	np2pl	and_pl_pl-Vsg
40	5	5	is	Vsg	and_pl_pl-Vsg
41	5	7	<eos>	End	and_pl_pl-Vsg
42	6	0	The	det1pl	and_pl_pl-Vsg
43	6	1	experts	np1pl	and_pl_pl-Vsg
44	6	2	and	and	and_pl_pl-Vsg
45	6	3	the	det2pl	and_pl_pl-Vsg
46	6	4	specialists	np2pl	and_pl_pl-Vsg
47	6	5	is	Vsg	and_pl_pl-Vsg
48	6	7	<eos>	End	and_pl_pl-Vsg
49	7	0	The	det1pl	and_pl_pl-Vsg
50	7	1	stockbrokers	np1pl	and_pl_pl-Vsg
51	7	2	and	and	and_pl_pl-Vsg
52	7	3	the	det2pl	and_pl_pl-Vsg
53	7	4	consultants	np2pl	and_pl_pl-Vsg
54	7	5	is	Vsg	and_pl_pl-Vsg
55	7	7	<eos>	End	and_pl_pl-Vsg
56	8	0	The	det1pl	and_pl_pl-Vsg
57	8	1	commanders	np1pl	and_pl_pl-Vsg
58	8	2	and	and	and_pl_pl-Vsg
59	8	3	the	det2pl	and_pl_pl-Vsg
60	8	4	deputies	np2pl	and_pl_pl-Vsg
61	8	5	is	Vsg	and_pl_pl-Vsg
62	8	7	<eos>	End	and_pl_pl-Vsg
63	9	0	The	det1pl	and_pl_pl-Vsg
64	9	1	pilots	np1pl	and_pl_pl-Vsg
65	9	2	and	and	and_pl_pl-Vsg
66	9	3	the	det2pl	and_pl_pl-Vsg
